"dep","dur","mem","temp","prec","rushhour","rushhour_combined","time","doy","hour","weekday_dummy","month","dur_min_bin","weekend","dur_boxcox"
2021-05-26 16:46:08,89,"Member",24,1,"PM","Rush Hour","16:46:08","05-26","16",1,"May",1,"0",5.67913268246035
2021-05-19 18:12:23,1375,"Member",19.2,0,"PM","Rush Hour","18:12:23","05-19","18",1,"May",22,"0",10.6416567137421
2021-05-19 17:18:54,1763,"Member",19.2,0,"PM","Rush Hour","17:18:54","05-19","17",1,"May",29,"0",11.1639331875843
2021-06-02 07:23:14,1166,"Member",20.9,0,"AM","Rush Hour","07:23:14","06-02","07",1,"Jun",19,"0",10.3023887993378
2021-06-16 07:54:58,95,"Member",15.2,0,"AM","Rush Hour","07:54:58","06-16","07",1,"Jun",1,"0",5.78213743984496
2021-06-02 08:45:00,488,"Member",20.9,0,"AM","Rush Hour","08:45:00","06-02","08",1,"Jun",8,"0",8.60089559716624
2021-06-23 09:02:28,516,"Member",14.5,0,"AM","Rush Hour","09:02:28","06-23","09",1,"Jun",8,"0",8.70545156079519
2021-06-16 09:02:38,270,"Member",15.2,0,"AM","Rush Hour","09:02:38","06-16","09",1,"Jun",4,"0",7.52719513186728
2021-06-23 01:09:39,416,"Member",14.5,0,"NonPeak","Non-Rush Hour","01:09:39","06-23","01",1,"Jun",6,"0",8.30497456421506
2021-06-23 23:56:29,868,"Member",14.5,0,"NonPeak","Non-Rush Hour","23:56:29","06-24","23",1,"Jun",14,"1",9.70899649341531
2021-06-30 00:02:14,663,"Member",23.4,1,"NonPeak","Non-Rush Hour","00:02:14","06-30","00",1,"Jun",11,"0",9.18255668367014
2021-06-02 14:06:06,346,"Member",20.9,0,"NonPeak","Non-Rush Hour","14:06:06","06-02","14",1,"Jun",5,"0",7.96929949520482
2021-06-23 14:11:38,807,"Member",14.5,0,"NonPeak","Non-Rush Hour","14:11:38","06-23","14",1,"Jun",13,"0",9.56519612844724
2021-06-02 17:34:14,1410,"Member",20.9,0,"PM","Rush Hour","17:34:14","06-02","17",1,"Jun",23,"0",10.693877983702
2021-06-16 15:20:11,229,"Member",15.2,0,"PM","Rush Hour","15:20:11","06-16","15",1,"Jun",3,"0",7.23966838552794
2021-06-02 17:40:48,324,"Member",20.9,0,"PM","Rush Hour","17:40:48","06-02","17",1,"Jun",5,"0",7.85111345093623
2021-06-16 15:42:25,1432,"Member",15.2,0,"PM","Rush Hour","15:42:25","06-16","15",1,"Jun",23,"0",10.7261094344764
2021-06-23 15:55:44,333,"Member",14.5,0,"PM","Rush Hour","15:55:44","06-23","15",1,"Jun",5,"0",7.90030900065154
2021-07-28 08:39:00,1275,"Member",19.2,0,"AM","Rush Hour","08:39:00","07-28","08",1,"Jul",21,"0",10.4855809276506
2021-07-07 08:42:40,447,"Member",16.4,0,"AM","Rush Hour","08:42:40","07-07","08",1,"Jul",7,"0",8.43762237999498
2021-07-07 07:45:52,533,"Member",16.4,0,"AM","Rush Hour","07:45:52","07-07","07",1,"Jul",8,"0",8.76646951639595
2021-07-28 07:43:56,810,"Member",19.2,0,"AM","Rush Hour","07:43:56","07-28","07",1,"Jul",13,"0",9.57249316814225
2021-07-21 07:54:49,232,"Member",20,1,"AM","Rush Hour","07:54:49","07-21","07",1,"Jul",3,"0",7.26221644581654
2021-07-21 11:27:19,782,"Member",20,1,"NonPeak","Non-Rush Hour","11:27:19","07-21","11",1,"Jul",13,"0",9.50342074131913
2021-07-21 22:47:18,2173,"Member",20,1,"NonPeak","Non-Rush Hour","22:47:18","07-22","22",1,"Jul",36,"0",11.613542787702
2021-07-07 11:55:38,1352,"Member",16.4,0,"NonPeak","Non-Rush Hour","11:55:38","07-07","11",1,"Jul",22,"0",10.6066852897412
2021-07-07 19:29:36,1140,"Member",16.4,0,"NonPeak","Non-Rush Hour","19:29:36","07-07","19",1,"Jul",19,"0",10.2564229342798
2021-07-28 10:09:55,322,"Member",19.2,0,"NonPeak","Non-Rush Hour","10:09:55","07-28","10",1,"Jul",5,"0",7.84001446099018
2021-07-14 17:25:55,783,"Member",24.2,0,"PM","Rush Hour","17:25:55","07-14","17",1,"Jul",13,"0",9.50592562088735
2021-07-14 17:50:51,1316,"Member",24.2,0,"PM","Rush Hour","17:50:51","07-14","17",1,"Jul",21,"0",10.550858651427
2021-07-28 17:18:52,489,"Member",19.2,0,"PM","Rush Hour","17:18:52","07-28","17",1,"Jul",8,"0",8.60472153618015
2021-07-21 15:29:44,1843,"Member",20,1,"PM","Rush Hour","15:29:44","07-21","15",1,"Jul",30,"0",11.258566392648
2021-07-28 18:39:50,1077,"Member",19.2,0,"PM","Rush Hour","18:39:50","07-28","18",1,"Jul",17,"0",10.1410101999647
2021-08-25 08:54:10,1218,"Member",26.6,0,"AM","Rush Hour","08:54:10","08-25","08",1,"Aug",20,"0",10.391620848316
2021-08-18 07:20:59,829,"Member",25.4,0,"AM","Rush Hour","07:20:59","08-18","07",1,"Aug",13,"0",9.61815140369641
2021-08-18 06:19:36,1606,"Member",25.4,0,"AM","Rush Hour","06:19:36","08-18","06",1,"Aug",26,"0",10.9664166786736
2021-08-11 09:22:29,701,"Member",27,1,"AM","Rush Hour","09:22:29","08-11","09",1,"Aug",11,"0",9.29028652150022
2021-08-04 07:54:28,1025,"Member",21.1,1,"AM","Rush Hour","07:54:28","08-04","07",1,"Aug",17,"0",10.0410818617218
2021-08-25 14:50:45,849,"Member",26.6,0,"NonPeak","Non-Rush Hour","14:50:45","08-25","14",1,"Aug",14,"0",9.66520741173002
2021-08-04 20:27:55,1511,"Member",21.1,1,"NonPeak","Non-Rush Hour","20:27:55","08-05","20",1,"Aug",25,"0",10.8382936295708
